model,axis,n_obs,is_human,is_sota,is_low_obs,chained,informed,release_date,mean,median,sd,chain_split,outside_50,outside_50_central,lump_lo,lump_hi,hi_share,sum_spread,axis_spread,ridge_ratio,lump_gap
claude-3-5-sonnet-20241022,axis1,38,False,False,False,True,True,2024-10-22 00:00:00,1.3368683529220138,1.337455447273114,0.22426480792818365,False,False,False,,,,0.024146007441117057,0.02809605602782364,0.8594091433048526,
claude-3-5-sonnet-20241022,axis2,38,False,False,False,True,True,2024-10-22 00:00:00,-0.2688135306959755,-0.2704107076577785,0.16913960490346144,False,False,False,,,,0.024146007441117057,0.02809605602782364,0.8594091433048526,
claude-3-5-sonnet-20241022,axis3,38,False,False,False,True,True,2024-10-22 00:00:00,0.2549153479901292,0.2476504312129741,0.21440885756345548,False,False,False,,,,0.024146007441117057,0.02809605602782364,0.8594091433048526,
claude-3-5-sonnet-20241022,axis4,38,False,False,False,True,True,2024-10-22 00:00:00,0.8028797424701536,0.8000257542807956,0.2773561899015666,False,False,False,,,,0.024146007441117057,0.02809605602782364,0.8594091433048526,
claude-3-7-sonnet-20250219,axis1,40,False,False,False,True,True,2025-02-24 00:00:00,1.4411248717283205,1.4448490430072263,0.2387171901390475,False,False,False,,,,0.04465968704841606,0.02999905491014728,1.4887031335547098,
claude-3-7-sonnet-20250219,axis2,40,False,False,False,True,True,2025-02-24 00:00:00,-0.04790288970041822,-0.04772528610809837,0.15903319456512308,False,False,False,,,,0.04465968704841606,0.02999905491014728,1.4887031335547098,
claude-3-7-sonnet-20250219,axis3,40,False,False,False,True,True,2025-02-24 00:00:00,0.43391868874715067,0.42909276943884833,0.2003762850926313,False,False,False,,,,0.04465968704841606,0.02999905491014728,1.4887031335547098,
claude-3-7-sonnet-20250219,axis4,40,False,False,False,True,True,2025-02-24 00:00:00,0.5925205063319905,0.5889030026665555,0.25936431605382104,False,False,False,,,,0.04465968704841606,0.02999905491014728,1.4887031335547098,
claude-3-7-sonnet-20250219_12K,axis1,1,False,False,True,True,True,2025-02-24 00:00:00,1.3967020268115413,1.3968189741652535,0.28070662658758677,False,False,False,,,,0.018809557882210132,0.012062043250568399,1.559400633165842,
claude-3-7-sonnet-20250219_12K,axis2,1,False,False,True,True,True,2025-02-24 00:00:00,0.17511151582483309,0.17589305661774576,0.266187597295071,False,False,False,,,,0.018809557882210132,0.012062043250568399,1.559400633165842,
claude-3-7-sonnet-20250219_12K,axis3,1,False,False,True,True,True,2025-02-24 00:00:00,0.6059970007364122,0.6021873011107212,0.31722432788102506,False,False,False,,,,0.018809557882210132,0.012062043250568399,1.559400633165842,
claude-3-7-sonnet-20250219_12K,axis4,1,False,False,True,True,True,2025-02-24 00:00:00,0.6341596660917683,0.6331460359989773,0.34981681565260675,False,False,False,,,,0.018809557882210132,0.012062043250568399,1.559400633165842,
claude-3-7-sonnet-20250219_15K,axis1,1,False,False,True,True,True,2025-02-24 00:00:00,1.3434853262505988,1.3427616249983525,0.32564378812520245,False,False,False,,,,0.026815906446553493,0.012545494863504317,2.137492919833936,
claude-3-7-sonnet-20250219_15K,axis2,1,False,False,True,True,True,2025-02-24 00:00:00,0.13354520322985577,0.13340816441927572,0.2915729082857417,False,False,False,,,,0.026815906446553493,0.012545494863504317,2.137492919833936,
claude-3-7-sonnet-20250219_15K,axis3,1,False,False,True,True,True,2025-02-24 00:00:00,0.5938599015769418,0.5905952028060331,0.31315641370533304,False,False,False,,,,0.026815906446553493,0.012545494863504317,2.137492919833936,
claude-3-7-sonnet-20250219_15K,axis4,1,False,False,True,True,True,2025-02-24 00:00:00,0.6104693701074644,0.6093015181247798,0.3559841560843858,False,False,False,,,,0.026815906446553493,0.012545494863504317,2.137492919833936,
claude-3-7-sonnet-20250219_16K,axis1,22,False,False,False,True,True,2025-02-24 00:00:00,1.4812776188547103,1.483611796650602,0.2656198294682843,False,False,False,,,,0.037118328938077934,0.012526193332990624,2.963256909049794,
claude-3-7-sonnet-20250219_16K,axis2,22,False,False,False,True,True,2025-02-24 00:00:00,0.20416757999961876,0.20552415169176808,0.15669589023909725,False,False,False,,,,0.037118328938077934,0.012526193332990624,2.963256909049794,
claude-3-7-sonnet-20250219_16K,axis3,22,False,False,False,True,True,2025-02-24 00:00:00,0.7783999487051997,0.7742888803288707,0.19757470125434248,False,False,False,,,,0.037118328938077934,0.012526193332990624,2.963256909049794,
claude-3-7-sonnet-20250219_16K,axis4,22,False,False,False,True,True,2025-02-24 00:00:00,0.6376293032868318,0.6357851131575856,0.2773743667673861,False,False,False,,,,0.037118328938077934,0.012526193332990624,2.963256909049794,
claude-3-7-sonnet-20250219_1K,axis1,2,False,False,True,True,True,2025-02-24 00:00:00,1.3285350135858396,1.329145445009128,0.32808296054242364,False,False,False,,,,0.026385561842251323,0.015172899436547559,1.738992731916181,
claude-3-7-sonnet-20250219_1K,axis2,2,False,False,True,True,True,2025-02-24 00:00:00,-0.011521883526467476,-0.009344157912745545,0.19055088024090383,False,False,False,,,,0.026385561842251323,0.015172899436547559,1.738992731916181,
claude-3-7-sonnet-20250219_1K,axis3,2,False,False,True,True,True,2025-02-24 00:00:00,0.5615735425218997,0.5575977997014313,0.31459123397088,False,False,False,,,,0.026385561842251323,0.015172899436547559,1.738992731916181,
claude-3-7-sonnet-20250219_1K,axis4,2,False,False,True,True,True,2025-02-24 00:00:00,0.5706750817524425,0.5691148879789196,0.3504605670822634,False,False,False,,,,0.026385561842251323,0.015172899436547559,1.738992731916181,
claude-3-7-sonnet-20250219_2K,axis1,1,False,False,True,True,True,2025-02-24 00:00:00,1.367522627396656,1.366794194657117,0.3077023312401687,False,False,False,,,,0.02741643388961212,0.012789198848810319,2.1437178523627742,
claude-3-7-sonnet-20250219_2K,axis2,1,False,False,True,True,True,2025-02-24 00:00:00,0.1522332473682055,0.15226604207993386,0.2879715051336067,False,False,False,,,,0.02741643388961212,0.012789198848810319,2.1437178523627742,
claude-3-7-sonnet-20250219_2K,axis3,1,False,False,True,True,True,2025-02-24 00:00:00,0.604237336096409,0.6007192124446153,0.3163769831991545,False,False,False,,,,0.02741643388961212,0.012789198848810319,2.1437178523627742,
claude-3-7-sonnet-20250219_2K,axis4,1,False,False,True,True,True,2025-02-24 00:00:00,0.622277951416346,0.6218177972614569,0.3504731637853696,False,False,False,,,,0.02741643388961212,0.012789198848810319,2.1437178523627742,
claude-3-7-sonnet-20250219_32K,axis1,4,False,False,False,True,True,2025-02-24 00:00:00,1.3173852131283712,1.3171816157219558,0.2950809025102345,False,False,False,,,,0.01828822952630011,0.020662143637698274,0.8851080433364651,
claude-3-7-sonnet-20250219_32K,axis2,4,False,False,False,True,True,2025-02-24 00:00:00,0.2706404893150417,0.2732595075842132,0.21961122740878128,False,False,False,,,,0.01828822952630011,0.020662143637698274,0.8851080433364651,
claude-3-7-sonnet-20250219_32K,axis3,4,False,False,False,True,True,2025-02-24 00:00:00,0.7999455355476981,0.7959905658234376,0.25378221462331285,False,False,False,,,,0.01828822952630011,0.020662143637698274,0.8851080433364651,
claude-3-7-sonnet-20250219_32K,axis4,4,False,False,False,True,True,2025-02-24 00:00:00,0.5429954003696055,0.5382736909575805,0.321802144618698,False,False,False,,,,0.01828822952630011,0.020662143637698274,0.8851080433364651,
claude-3-7-sonnet-20250219_64K,axis1,4,False,False,False,True,True,2025-02-24 00:00:00,1.3711279667624152,1.370978722209155,0.3158656595539008,False,False,False,,,,0.009524808920210603,0.017282239537798956,0.5511327915215131,
claude-3-7-sonnet-20250219_64K,axis2,4,False,False,False,True,True,2025-02-24 00:00:00,0.2798306705281923,0.28242663839189786,0.2117291046520889,False,False,False,,,,0.009524808920210603,0.017282239537798956,0.5511327915215131,
claude-3-7-sonnet-20250219_64K,axis3,4,False,False,False,True,True,2025-02-24 00:00:00,0.8686272807897722,0.8627970075961813,0.24845732655134475,False,False,False,,,,0.009524808920210603,0.017282239537798956,0.5511327915215131,
claude-3-7-sonnet-20250219_64K,axis4,4,False,False,False,True,True,2025-02-24 00:00:00,0.6306689899865145,0.6284108232804382,0.3551803921521542,False,False,False,,,,0.009524808920210603,0.017282239537798956,0.5511327915215131,
claude-3-7-sonnet-20250219_8K,axis1,3,False,False,True,True,True,2025-02-24 00:00:00,1.327647200353487,1.3265743247601252,0.31623491442784785,False,False,False,,,,0.026712571205681504,0.012467564945500156,2.142565234065431,
claude-3-7-sonnet-20250219_8K,axis2,3,False,False,True,True,True,2025-02-24 00:00:00,0.16955418667072575,0.17154427855533036,0.18530054966846907,False,False,False,,,,0.026712571205681504,0.012467564945500156,2.142565234065431,
claude-3-7-sonnet-20250219_8K,axis3,3,False,False,True,True,True,2025-02-24 00:00:00,0.5914259120113655,0.5881679920726167,0.3044011911962277,False,False,False,,,,0.026712571205681504,0.012467564945500156,2.142565234065431,
claude-3-7-sonnet-20250219_8K,axis4,3,False,False,True,True,True,2025-02-24 00:00:00,0.6208945862924321,0.6193123459217567,0.3446677170383144,False,False,False,,,,0.026712571205681504,0.012467564945500156,2.142565234065431,
claude-3-7-sonnet-20250219_unknown,axis1,11,False,False,False,True,True,2025-02-24 00:00:00,1.482260670362578,1.484081775812293,0.25354372102676354,False,False,False,,,,0.027882880663563724,0.012675001178008573,2.1998325895181123,
claude-3-7-sonnet-20250219_unknown,axis2,11,False,False,False,True,True,2025-02-24 00:00:00,0.12261870955961542,0.12321349255889558,0.2137474545351971,False,False,False,,,,0.027882880663563724,0.012675001178008573,2.1998325895181123,
claude-3-7-sonnet-20250219_unknown,axis3,11,False,False,False,True,True,2025-02-24 00:00:00,0.632402331866855,0.627708245692042,0.2674957546768083,False,False,False,,,,0.027882880663563724,0.012675001178008573,2.1998325895181123,
