kind,name,keep,drop,delta,sd,z,n_obs,vs
theta2,DeepSeek-V3.2-Speciale,0.6030516399825756,0.5046122722340143,-0.0984393677485613,0.4069130424670034,-0.2419174552669782,2,keepA_vs_dropA
theta3,DeepSeek-V3.2-Speciale,0.3151081932263377,0.5589458500626245,0.2438376568362868,0.4325397346734279,0.563734698317108,2,keepA_vs_dropA
theta_norm,DeepSeek-V3.2-Speciale,1.2738772557685905,1.181569198648598,-0.0923080571199923,0.1468581114930191,-0.6285526633942871,2,keepA_vs_dropA
theta1,Domain Expert,1.9456263272862788,1.2840831153478154,-0.6615432119384634,3.890726069776886,-0.1700307860471913,16,keepA_vs_dropA
theta2,Domain Expert,0.574270759533848,0.6468891993858765,0.0726184398520285,3.692078199952102,0.0196687166195371,16,keepA_vs_dropA
theta3,Domain Expert,2.4450715944797468,3.0878515055191,0.6427799110393533,2.779784948623462,0.2312336827917768,16,keepA_vs_dropA
theta_norm,Domain Expert,6.764738307741952,6.935660421861164,0.1709221141192118,0.6416799229940029,0.2663666229756877,16,keepA_vs_dropA
theta1,Dracarys2-72B-Instruct,0.0012039679978711,-0.0004716473426231,-0.0016756153404943,0.7824362676332312,-0.0021415358794178,1,keepA_vs_dropA
theta2,Dracarys2-72B-Instruct,-0.0040625600277012,0.003485578819611,0.0075481388473123,0.824290345832548,0.0091571360570631,1,keepA_vs_dropA
theta3,Dracarys2-72B-Instruct,0.0037610361942557,-0.0069171302312102,-0.0106781664254659,0.8642250437817385,-0.0123557706436504,1,keepA_vs_dropA
theta_norm,Dracarys2-72B-Instruct,1.2720262537879523,1.2723271402560117,0.0003008864680591,0.648196421792847,0.0004641902638507,1,keepA_vs_dropA
theta1,Dracarys2-Llama-3.1-70B-Instruct,-0.1514950379257983,-0.1502353242502061,0.0012597136755922,0.7858725985887114,0.0016029489739869,1,keepA_vs_dropA
theta2,Dracarys2-Llama-3.1-70B-Instruct,-0.1485943937369781,-0.1121765088485977,0.0364178848883803,0.8210186994359197,0.0443569493769158,1,keepA_vs_dropA
theta3,Dracarys2-Llama-3.1-70B-Instruct,-0.1050492534018499,-0.1280307291844963,-0.0229814757826463,0.8541847153381107,-0.0269045738819497,1,keepA_vs_dropA
theta_norm,Dracarys2-Llama-3.1-70B-Instruct,1.2887241227833717,1.3020028624768267,0.0132787396934552,0.630154387740396,0.0210722006412906,1,keepA_vs_dropA
theta1,Eurus-2-7B-PRIME,-0.5671796680887009,-0.5972160043237517,-0.0300363362350507,0.8417490804525043,-0.0356832421116562,1,keepA_vs_dropA
theta2,Eurus-2-7B-PRIME,-0.5975235959699298,-0.4563215880694749,0.1412020079004548,0.8761265640423118,0.1611662215205195,1,keepA_vs_dropA
theta3,Eurus-2-7B-PRIME,-0.3214547136442299,-0.4063238661639343,-0.0848691525197043,0.9417334742688906,-0.0901201399744147,1,keepA_vs_dropA
theta_norm,Eurus-2-7B-PRIME,1.6708212814623742,1.653961083545008,-0.0168601979173661,0.5961657413445653,-0.02828105801474,1,keepA_vs_dropA
theta1,GLM-4.5-Air,0.2108390372320333,0.2056613080336386,-0.0051777291983947,0.7085570712761543,-0.0073074271760061,4,keepA_vs_dropA
theta2,GLM-4.5-Air,0.261355745084838,0.1498576234983296,-0.1114981215865083,0.7489166379748702,-0.1488792155666458,4,keepA_vs_dropA
