,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
"theta_t_zerosum__[0, 409]",0.881625,0.081117,0.731985,1.033699,0.000968,0.000966,7043.515623,5183.065127,1.000725
"theta_t_zerosum__[0, 410]",-0.000301,0.22741,-0.4242,0.431027,0.002846,0.002569,6406.663372,5831.122742,1.001368
"theta_t_zerosum__[0, 411]",0.139544,0.114748,-0.079441,0.355781,0.001335,0.001657,7689.430882,5287.865279,0.999767
"theta_t_zerosum__[0, 412]",0.121363,0.473962,-0.795802,0.962004,0.005407,0.0065,8621.635783,5279.820558,1.000235
"theta_t_zerosum__[0, 413]",-0.892499,0.497913,-1.870761,-0.027234,0.005878,0.006205,8101.663027,5214.388298,1.000984
"theta_t_zerosum__[0, 414]",-0.889115,0.506848,-1.826176,0.015396,0.005289,0.006383,10113.300054,5703.447837,1.00031
"theta_t_zerosum__[0, 415]",-0.725981,0.512869,-1.714792,0.196264,0.005239,0.006865,11043.899325,5070.954865,1.00113
"theta_t_zerosum__[0, 416]",0.054966,0.279227,-0.497849,0.561249,0.003118,0.00357,8211.323614,5820.369485,1.000528
"theta_t_zerosum__[0, 417]",1.181278,0.26843,0.680376,1.687273,0.002979,0.004304,8783.066777,4982.420832,1.001573
"theta_t_zerosum__[0, 418]",1.120965,0.082565,0.966183,1.277052,0.000973,0.001075,7263.579982,4861.313314,1.001261
"logA_z_zerosum__[0, 0]",0.101504,0.151415,-0.185649,0.390734,0.002528,0.001862,3585.96741,4648.140589,1.001706
"logA_z_zerosum__[0, 1]",0.639463,0.143824,0.371785,0.909408,0.003755,0.001988,1495.653461,2520.447066,1.003077
"logA_z_zerosum__[0, 2]",0.117411,0.271932,-0.402718,0.611951,0.005397,0.004869,2697.126312,2995.375027,1.002186
"logA_z_zerosum__[0, 3]",0.304957,0.182906,-0.037644,0.648638,0.003217,0.002254,3305.975366,4805.994419,1.001123
"logA_z_zerosum__[0, 4]",-0.317612,0.283707,-0.877347,0.178225,0.006807,0.004729,1873.443363,2378.370717,1.004045
"logA_z_zerosum__[0, 5]",2.096817,0.331701,1.466565,2.714613,0.011691,0.006567,814.973338,1155.343905,1.004249
"logA_z_zerosum__[0, 6]",1.118314,0.186484,0.77273,1.465414,0.006476,0.003804,842.539188,1281.651684,1.005101
"logA_z_zerosum__[0, 7]",-0.472511,0.584851,-1.539964,0.631532,0.00954,0.007163,3849.32536,4579.134233,1.001006
"logA_z_zerosum__[0, 8]",0.250154,0.150316,-0.029806,0.534397,0.002992,0.001935,2532.432373,4013.180421,1.001353
