,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
"theta_zsn_t_zerosum__[0, 328]",0.480522,0.092561,0.305362,0.654272,0.001085,0.001187,7342.828427,5542.400856,1.000206
"theta_zsn_t_zerosum__[0, 329]",-0.479196,0.1896,-0.824734,-0.116406,0.002073,0.002338,8502.150305,4436.611142,1.000526
"theta_zsn_t_zerosum__[0, 330]",0.07654,0.152917,-0.216905,0.351169,0.001983,0.001822,6178.362805,5013.736841,1.000957
"theta_zsn_t_zerosum__[0, 331]",0.629612,0.083586,0.46713,0.779942,0.001174,0.001101,5278.785279,4811.794339,1.000403
"theta_zsn_t_zerosum__[0, 332]",0.522618,0.079309,0.375262,0.669047,0.001141,0.000908,4990.836622,5127.535766,1.000544
"theta_zsn_t_zerosum__[0, 333]",0.70586,0.456438,-0.100036,1.586669,0.005373,0.006171,8296.930385,5040.921541,1.001096
"theta_zsn_t_zerosum__[0, 334]",-0.083715,0.328627,-0.70934,0.525708,0.002913,0.004196,12892.761949,5817.971851,1.000016
"theta_zsn_t_zerosum__[0, 335]",1.097058,0.083898,0.938581,1.252097,0.001449,0.000964,3473.126645,4316.178167,1.000661
"theta_zsn_t_zerosum__[0, 336]",1.50384,0.169608,1.196931,1.828736,0.002208,0.001893,5879.434824,5319.448851,1.000426
"theta_zsn_t_zerosum__[0, 337]",-0.971669,0.323869,-1.586775,-0.382933,0.003874,0.003994,7515.728201,5474.984986,1.000267
"theta_zsn_t_zerosum__[0, 338]",-1.013987,0.343696,-1.655297,-0.37103,0.003421,0.004203,10413.759535,5315.52318,1.000583
"theta_zsn_t_zerosum__[0, 339]",-0.385202,0.292011,-0.928358,0.172387,0.002687,0.003447,11997.742617,6152.388852,1.000603
"theta_zsn_t_zerosum__[0, 340]",0.106873,0.368598,-0.591146,0.779932,0.004544,0.00567,7899.531897,4392.298284,1.000444
"theta_zsn_t_zerosum__[0, 341]",0.203082,0.364224,-0.475138,0.847448,0.004496,0.005535,7854.028005,4717.164067,1.00024
"theta_zsn_t_zerosum__[0, 342]",-2.115823,0.201379,-2.489768,-1.73849,0.002082,0.00242,9340.88186,5359.703224,1.000057
"theta_zsn_t_zerosum__[0, 343]",-1.894315,0.211239,-2.282809,-1.492166,0.002251,0.002223,8819.98926,6050.579217,1.000991
"theta_zsn_t_zerosum__[0, 344]",-1.140773,0.260828,-1.627453,-0.650524,0.002951,0.003717,8620.610318,5366.971433,1.000627
"theta_zsn_t_zerosum__[0, 345]",-0.840598,0.30583,-1.404618,-0.256669,0.00301,0.003959,10858.508615,5302.760598,1.001192
"theta_zsn_t_zerosum__[0, 346]",-0.62505,0.241608,-1.069729,-0.159512,0.002756,0.002677,7772.311765,6037.962285,1.000125
"theta_zsn_t_zerosum__[0, 347]",-0.581247,0.351352,-1.282647,0.030173,0.004271,0.004784,7040.001499,5666.216068,1.000729
"theta_zsn_t_zerosum__[0, 348]",-1.65733,0.355476,-2.348033,-1.016564,0.003829,0.004734,9374.263155,5126.323421,1.000559
"theta_zsn_t_zerosum__[0, 349]",0.904405,0.152183,0.62469,1.191364,0.001746,0.001946,7737.515981,5582.374182,1.000236
"theta_zsn_t_zerosum__[0, 350]",1.244569,0.184762,0.889576,1.582099,0.001865,0.002185,9885.494231,5785.695555,1.000405
"theta_zsn_t_zerosum__[0, 351]",0.147389,0.331007,-0.462997,0.776371,0.003979,0.005559,7168.824468,5198.215584,1.001015
"theta_zsn_t_zerosum__[0, 352]",0.826469,0.459757,-0.075069,1.658375,0.004858,0.00685,9436.170852,5048.429462,1.000124
"theta_zsn_t_zerosum__[0, 353]",0.673262,0.466132,-0.259111,1.518592,0.00562,0.007328,7713.867666,4819.05425,1.000723
"theta_zsn_t_zerosum__[0, 354]",0.803529,0.264039,0.329142,1.315494,0.002543,0.002959,10920.011467,5918.859175,1.000013
"theta_zsn_t_zerosum__[0, 355]",-0.430778,0.309307,-1.005291,0.154447,0.003014,0.003487,10601.678934,5907.100438,1.00019
"theta_zsn_t_zerosum__[0, 356]",-0.108929,0.177696,-0.444045,0.226973,0.001655,0.002132,11556.825184,6089.126638,1.000743
"theta_zsn_t_zerosum__[0, 357]",-0.557719,0.134249,-0.819721,-0.319662,0.001801,0.001731,5843.653744,4607.95309,1.000725
"theta_zsn_t_zerosum__[0, 358]",-0.804865,0.165104,-1.119582,-0.49587,0.001905,0.002168,7792.215262,4747.415848,1.000409
"theta_zsn_t_zerosum__[0, 359]",-0.637129,0.113197,-0.856877,-0.436325,0.001332,0.001351,7188.36096,5619.922182,1.000357
"theta_zsn_t_zerosum__[0, 360]",-0.63853,0.261341,-1.160617,-0.171607,0.003162,0.00335,7317.161876,5388.335593,1.000136
"theta_zsn_t_zerosum__[0, 361]",-0.595814,0.396076,-1.337088,0.162207,0.004016,0.006634,10526.081804,5051.4326,0.999653
"theta_zsn_t_zerosum__[0, 362]",-0.670342,0.254769,-1.154753,-0.185879,0.002473,0.003162,10638.905592,5720.093241,1.00064
"theta_zsn_t_zerosum__[0, 363]",-0.820211,0.151769,-1.107035,-0.530804,0.001605,0.00178,8984.793829,5944.165722,1.000595
"theta_zsn_t_zerosum__[0, 364]",-0.60558,0.251573,-1.09451,-0.154112,0.002845,0.003525,8305.465758,4783.293905,1.000248
"theta_zsn_t_zerosum__[0, 365]",0.134312,0.08905,-0.031265,0.310445,0.001026,0.001134,7570.954739,5245.458245,1.000712
"theta_zsn_t_zerosum__[0, 366]",-0.336055,0.136967,-0.589607,-0.072287,0.001582,0.001868,7949.253758,5244.017009,1.000717
"theta_zsn_t_zerosum__[0, 367]",0.070058,0.086847,-0.093975,0.233214,0.001012,0.000999,7370.777577,5523.441442,1.000515
"theta_zsn_t_zerosum__[0, 368]",-0.013842,0.287438,-0.57937,0.505792,0.003143,0.003583,8532.343512,5224.503884,1.000579
"theta_zsn_t_zerosum__[0, 369]",-0.382437,0.112196,-0.5965,-0.173031,0.00138,0.001452,6827.871811,5013.203807,1.000311
"theta_zsn_t_zerosum__[0, 370]",-1.163669,0.198893,-1.542729,-0.80905,0.002621,0.002529,5843.161559,4807.713692,1.000526
"theta_zsn_t_zerosum__[0, 371]",-0.629495,0.122963,-0.857907,-0.392385,0.001413,0.001321,7528.782734,6116.017936,1.000845
"theta_zsn_t_zerosum__[0, 372]",-0.828735,0.501966,-1.7971,0.089577,0.005886,0.006725,7416.264098,4746.112209,1.000416
"theta_zsn_t_zerosum__[0, 373]",0.251913,0.337112,-0.356874,0.899025,0.003143,0.004217,11576.730981,5770.439037,1.001686
"theta_zsn_t_zerosum__[0, 374]",0.104015,0.087494,-0.061662,0.262924,0.001263,0.001161,5087.566473,4845.07938,1.000945
"theta_zsn_t_zerosum__[0, 375]",-0.450777,0.144115,-0.737074,-0.18986,0.001818,0.002203,6830.368415,4501.65856,1.000488
"theta_zsn_t_zerosum__[0, 376]",-0.134895,0.099558,-0.326175,0.049069,0.001625,0.001089,3847.718948,5289.792523,1.001114
"theta_zsn_t_zerosum__[0, 377]",-2.099918,0.260944,-2.590058,-1.611148,0.0029,0.00317,8127.993337,5638.252028,1.000275
"theta_zsn_t_zerosum__[0, 378]",-1.757656,0.217393,-2.187533,-1.36628,0.00233,0.002489,8769.578621,6159.096273,1.000326
"theta_zsn_t_zerosum__[0, 379]",-0.496133,0.282487,-1.03158,0.032123,0.002959,0.003545,9443.868996,5527.310186,1.000484
"theta_zsn_t_zerosum__[0, 380]",-1.094437,0.393425,-1.847999,-0.364964,0.003946,0.005199,10327.951062,5696.232188,1.000417
