benchmark,axis,category,gate_median,hdi_low,hdi_high,survived
MCP Atlas,Reasoning,Agentic Computer Use,0.27218163614674595,2.0330900168916952e-05,1.5865775520031657,True
PIQA,Reasoning,General Reasoning,0.2682309191599158,0.0073401726531391554,2.295566210838616,True
DeepResearchBench,Reasoning,Agentic Computer Use,0.2605337142962276,8.241936462976137e-06,2.4690786279163848,True
ARC (AI2),Reasoning,Domain Specific Questions,0.2597980871285924,1.668781214434492e-05,1.333343526395214,True
OpenBookQA,Reasoning,Domain Specific Questions,0.24879193780247902,4.282482679134897e-06,1.0279297500560398,True
SimpleQA Verified,Reasoning,Domain Specific Questions,0.2480475250214029,3.502032426934531e-05,1.8759329423159934,True
Chess Puzzles,Reasoning,General Reasoning,0.22955204916000738,1.714802874381183e-06,1.8577475685453329,True
WinoGrande,Reasoning,General Reasoning,0.21665850968117872,0.038309916400787646,1.3382459983746338,True
MMLU Pro Biology,Reasoning,Biology,0.20021786693198296,2.9119418810946155e-06,2.2398904206590515,True
VPCT,Reasoning,Multimodal Understanding,0.1953130368978791,3.588502810116005e-05,0.8014012678092941,False
GPQA Main Biology,Reasoning,Biology,0.17729187195730267,1.494404022509463e-05,1.3597417638558364,False
SuperGLUE,Reasoning,General Reasoning,0.1757757542293843,2.1528181838531514e-05,1.623762986834562,False
BIG-Bench Hard (BBH),Reasoning,Domain Specific Questions,0.16820030581835216,1.0118413415870378e-06,1.3997414022820427,False
WMDP Biology,Reasoning,Biology,0.16538273056616898,1.3943522826216782e-05,1.9169066912386783,False
GPQA Diamond Chemistry,Reasoning,Chemistry,0.16031430924279844,9.361366413876732e-06,0.6014684193308262,False
CSQA2,Reasoning,General Reasoning,0.1557445555728283,0.0001979540589952438,0.8636278080706165,False
LAB-Bench SeqQA,Reasoning,Biology,0.134452094980818,0.00010342863863890688,0.6687810895979839,False
WMDP Chemistry,Reasoning,Chemistry,0.1310668376096455,5.660668181830701e-06,1.159082433493064,False
